player_id,player_name,season,competition_id,competition_name,country_name,age,position,sub_position,nationality,foot,height_in_cm,current_club_id,current_club_name,games_played,season_minutes,minutes_per_game,minutes_volatility,market_value_in_eur,highest_market_value_in_eur
99361,Evripidis Giakos,2015-2016,GR1,super-league-1,Greece,25,Midfield,Attacking Midfield,Greece,right,192,4603,Athlitiki Enosi Larisas,25,1169.0,46.76,32.567812330581866,200000,600000
357885,Pablo Fornals,2017-2018,ES1,laliga,Spain,22,Midfield,Attacking Midfield,Spain,right,178,379,West Ham United Football Club,35,2623.0,74.94285714285714,27.51824626590547,14000000,30000000
85148,Julian Draxler,2016-2017,FR1,ligue-1,France,24,Attack,Left Winger,Germany,right,185,294,Sport Lisboa e Benfica,17,1016.0,59.76470588235294,27.535067292379146,5000000,40000000
569140,Lassine Sinayoko,2022-2023,FR1,ligue-1,France,24,Attack,Right Winger,,right,186,290,Association de la Jeunesse auxerroise,33,1567.0,47.484848484848484,30.923288480231022,1200000,1500000
348425,Miguel Cardoso,2017-2018,PO1,liga-portugal-bwin,Portugal,24,Midfield,Attacking Midfield,Portugal,right,176,3205,Kayserispor Kulübü,32,2612.0,81.625,18.66941014065522,2500000,2800000
719442,David Da Costa,2023-2024,FR1,ligue-1,France,23,Midfield,Attacking Midfield,Portugal,right,168,826,Racing Club de Lens,25,1499.0,59.96,31.82009428018716,8000000,10000000
69633,Christian Eriksen,2014-2015,GB1,premier-league,England,23,Midfield,Attacking Midfield,Denmark,right,182,985,Manchester United Football Club,38,3138.0,82.57894736842105,14.472535839610444,8000000,100000000
530851,Franco Tongya,2022-2023,DK1,superligaen,Denmark,21,Attack,Left Winger,Italy,right,175,173,Odense Boldklub,15,932.0,62.13333333333333,25.32947339014813,900000,2500000
54576,Sebastián Blanco,2012-2013,UKR1,premier-liga,Ukraine,25,Midfield,Attacking Midfield,Argentina,both,168,984,West Bromwich Albion,26,1000.0,38.46153846153846,32.18244955207104,600000,6000000
187598,Terell Ondaan,2014-2015,NL1,eredivisie,Netherlands,22,Attack,Right Winger,Guyana,right,173,1269,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,33,1797.0,54.45454545454545,27.47791499863438,100000,750000
