player,squad,comp,minutes
Nicolas Höfler,Freiburg,de Bundesliga,2330.0
Jens Stage,Werder Bremen,de Bundesliga,2327.0
Vincenzo Grifo,Freiburg,de Bundesliga,2325.0
Anton Stach,Hoffenheim,de Bundesliga,2321.0
Wissam Ben Yedder,Monaco,fr Ligue 1,2316.0
Abdel Abqar,Alavés,es La Liga,2312.0
Victor Bernth Kristiansen,Bologna,it Serie A,2307.0
Arthur Theate,Rennes,fr Ligue 1,2296.0
Florian Grillitsch,Hoffenheim,de Bundesliga,2295.0
Alexandre Lacazette,Lyon,fr Ligue 1,2293.0
Hamari Traoré,Real Sociedad,es La Liga,2292.0
Edon Zhegrova,Lille,fr Ligue 1,2288.0
Robin Gosens,Union Berlin,de Bundesliga,2283.0
Ozan Kabak,Hoffenheim,de Bundesliga,2282.0
Leonardo Balerdi,Marseille,fr Ligue 1,2271.0
Lamine Camara,Metz,fr Ligue 1,2255.0
Koen Casteels,Wolfsburg,de Bundesliga,2250.0
Ritsu Doan,Freiburg,de Bundesliga,2246.0
Leon Goretzka,Bayern Munich,de Bundesliga,2241.0
Enzo Millot,Stuttgart,de Bundesliga,2241.0
Joe Scally,Gladbach,de Bundesliga,2236.0
Hiroki Ito,Stuttgart,de Bundesliga,2228.0
Luca Netz,Gladbach,de Bundesliga,2225.0
Julian Brandt,Dortmund,de Bundesliga,2223.0
Ismaël Traoré,Metz,fr Ligue 1,2220.0
Clinton Mata,Lyon,fr Ligue 1,2220.0
Alexsandro Ribeiro,Lille,fr Ligue 1,2220.0
Niclas Füllkrug,Dortmund,de Bundesliga,2212.0
Serhou Guirassy,Stuttgart,de Bundesliga,2208.0
Chancel Mbemba,Marseille,fr Ligue 1,2207.0
Andrej Kramarić,Hoffenheim,de Bundesliga,2199.0
Marco Friedl,Werder Bremen,de Bundesliga,2197.0
Florian Kainz,Köln,de Bundesliga,2197.0
Przemysław Frankowski,Lens,fr Ligue 1,2192.0
Wilfried Singo,Monaco,fr Ligue 1,2187.0
Dominik Kohr,Mainz 05,de Bundesliga,2184.0
Jordan Veretout,Marseille,fr Ligue 1,2183.0
Joshua Kimmich,Bayern Munich,de Bundesliga,2176.0
Marshall Munetsi,Reims,fr Ligue 1,2173.0
Obite N'Dicka,Roma,it Serie A,2168.0
Danilho Doekhi,Union Berlin,de Bundesliga,2160.0
Mikel Oyarzabal,Real Sociedad,es La Liga,2156.0
Thierry Correia,Valencia,es La Liga,2154.0
Takefusa Kubo,Real Sociedad,es La Liga,2150.0
Aleksandr Golovin,Monaco,fr Ligue 1,2147.0
Adrien Truffert,Rennes,fr Ligue 1,2145.0
Arnaud Kalimuendo,Rennes,fr Ligue 1,2139.0
Grischa Prömel,Hoffenheim,de Bundesliga,2139.0
Leroy Sané,Bayern Munich,de Bundesliga,2137.0
Denis Zakaria,Monaco,fr Ligue 1,2137.0
Rocco Reitz,Gladbach,de Bundesliga,2136.0
Nicolás Tagliafico,Lyon,fr Ligue 1,2123.0
Hwang Hee-chan,Wolves,eng Premier League,2119.0
Takumi Minamino,Monaco,fr Ligue 1,2117.0
Lee Jae-sung,Mainz 05,de Bundesliga,2113.0
Teddy Teuma,Reims,fr Ligue 1,2113.0
Jonathan Gradit,Lens,fr Ligue 1,2112.0
Khéphren Thuram,Nice,fr Ligue 1,2108.0
Lovro Majer,Wolfsburg,de Bundesliga,2106.0
Maximilian Mittelstädt,Stuttgart,de Bundesliga,2103.0
Tomáš Suslov,Hellas Verona,it Serie A,2092.0
Deniz Undav,Stuttgart,de Bundesliga,2089.0
Florent Mollet,Nantes,fr Ligue 1,2083.0
Samuel Lino,Atlético Madrid,es La Liga,2080.0
Rodrigo De Paul,Atlético Madrid,es La Liga,2075.0
Warmed Omari,Rennes,fr Ligue 1,2071.0
Jonathan Clauss,Marseille,fr Ligue 1,2068.0
Amine Gouiri,Rennes,fr Ligue 1,2067.0
Maximilian Wöber,Gladbach,de Bundesliga,2066.0
Alphonso Davies,Bayern Munich,de Bundesliga,2065.0
